brand,model,year,variant,price_usd,battery_capacity_kwh,range_miles,charging_speed_kw,acceleration_0_60_mph,top_speed_mph,horsepower,torque_nm,drive_type,seating_capacity,body_type,cargo_volume_cubic_ft,weight_kg,safety_rating,autopilot_level,country_of_origin,market_segment,annual_sales_units,customer_rating,warranty_years
Volkswagen,ID. Buzz,2023,Performance,104880.8,118.7,400.0,234.5,3.04,195.0,1000.0,895.0,AWD,7,Truck,54.2,2015.0,4,2,Germany,Luxury,202182,4.0,4
Toyota,bZ Compact SUV,2022,Premium,48217.41,58.8,219.0,148.1,5.77,159.0,381.0,360.0,FWD,5,SUV,69.0,1709.0,4,0,Japan,Mid-range,7146,3.56,3
GM/Chevrolet,Bolt EV,2024,Premium,49651.12,58.2,225.0,104.9,6.84,148.0,588.0,516.0,AWD,5,Van,77.0,1533.0,4,1,US,Mid-range,16590,3.7,3
Kia,Sportage EV,2024,Long Range,38131.56,102.5,349.0,66.5,4.66,176.0,310.0,327.0,AWD,7,SUV,65.8,1935.0,4,2,South Korea,Mid-range,127201,3.81,3
Tesla,Model 3,2022,Long Range,144079.87,93.9,314.0,298.5,5.64,165.0,1000.0,883.0,RWD,5,SUV,38.3,2229.0,4,2,US,Luxury,196401,3.83,4
Tesla,Model Y,2023,Performance,119590.27,78.3,251.0,334.6,2.84,200.0,947.0,858.0,AWD,5,Hatchback,35.5,1751.0,5,3,US,Luxury,411764,3.67,5
Tesla,Model 3,2024,Premium,128427.66,68.6,222.0,201.9,6.68,149.0,992.0,899.0,RWD,5,Coupe,39.3,1500.0,5,2,US,Luxury,213937,3.54,6
Mercedes,EQS,2025,Performance,131074.23,82.7,292.0,202.5,2.99,200.0,764.0,737.0,RWD,7,SUV,61.2,2219.0,4,2,Germany,Luxury,48277,4.11,8
Kia,Niro EV,2021,Premium,80530.57,54.6,184.0,67.5,7.57,137.0,976.0,864.0,AWD,7,Hatchback,36.7,1511.0,3,1,South Korea,Premium,90830,3.11,4
GM/Chevrolet,Blazer EV,2025,Base,56944.53,69.9,251.0,117.1,6.68,149.0,703.0,604.0,FWD,7,Van,67.6,1520.0,5,2,US,Mid-range,8761,3.46,5
Tesla,Model S,2026,Long Range,134165.81,103.2,347.0,324.4,4.56,187.0,993.0,949.0,AWD,5,Sedan,26.7,1720.0,4,2,US,Luxury,211478,3.78,4
Fisker,Ronin,2025,Standard,88914.19,66.7,232.0,129.5,5.1,173.0,727.0,689.0,AWD,7,Truck,64.7,2536.0,3,2,US,Premium,2408,3.67,5
Mercedes,EQG,2025,Performance,210811.92,93.2,320.0,166.5,2.84,200.0,1000.0,919.0,RWD,7,Hatchback,17.6,1562.0,5,2,Germany,Luxury,56039,3.59,7
BYD,Seagull,2023,Base,16394.33,41.8,158.0,73.9,6.41,155.0,150.0,200.0,FWD,5,Coupe,26.9,1744.0,5,0,China,Budget,224997,3.58,5
Tesla,Model 3,2024,Premium,95912.83,49.8,167.0,241.7,7.45,138.0,716.0,627.0,FWD,7,Sedan,15.7,1556.0,4,3,US,Premium,124780,3.56,5
Tesla,Model S,2024,Premium,134964.13,67.4,250.0,343.3,7.46,135.0,992.0,875.0,RWD,5,Van,76.0,1500.0,5,2,US,Luxury,235048,3.81,5
BYD,Atto 3,2024,Standard,64427.02,70.5,265.0,51.0,6.91,138.0,711.0,662.0,RWD,7,Truck,72.2,2756.0,5,1,China,Mid-range,204232,3.52,4
Hyundai,Kona Electric,2024,Premium,63139.95,81.0,275.0,96.7,7.45,141.0,743.0,649.0,RWD,5,Coupe,21.9,1750.0,4,1,South Korea,Mid-range,132242,3.43,5
Volkswagen,ID.4,2024,Long Range,77030.0,88.0,332.0,118.8,4.75,183.0,826.0,707.0,AWD,7,Sedan,38.7,1634.0,4,0,Germany,Premium,238587,3.37,4
BYD,Atto 3,2024,Premium,72336.67,77.9,295.0,60.5,5.5,178.0,800.0,732.0,AWD,5,Van,60.6,1500.0,3,1,China,Premium,168778,3.53,3
